amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
199948400000000000000000,0x4d9f23829fe967aaad8a2e6ba037ad866e828bb0,126230400,1722988800,31536000,0
21116740000000000000000,0x051A7dcD1Edef143f52b3812313556c6BCbE1893,126230400,1723593600,31536000,0
148476400000000000000000,0xE259C171F505DD2f7c039C776d6Aed2317053459,126230400,1724025600,31536000,0
21605530000000000000000,0x93031b30C26B23765Aa8dB9b27868D9dfb01c2C3,126230400,1724803200,31536000,1
43331850000000000000000,0x2684a795534E4B12e135262683E9750BbcDAEaF5,126230400,1725235200,31536000,1
186846040000000000000000,0xf5EBf24DE2FD8529226624d35F248573a66235a3,126230400,1725321600,31536000,0
81642170000000000000000,0x90bAE8AEbC988DB0bCbAE78a728C7D5DC445A0Bf,126230400,1727740800,31536000,1
