amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
70414970000000000000000,0xfd4FDC168329AeaEF788b23042091F77a8F6CbEF,126230400,1711929600,0,0
29914860000000000000000,0xC64d449baeCd972493C9F7CC171cf41aC1023dbd,126230400,1711929600,0,0
26549440000000000000000,0x8a62A63b877877bd5B1209B9b67F3d2685284268,126230400,1711929600,0,0
22436140000000000000000,0x624d8d3461871120A35A8c508b7a0be1B8E82cd0,126230400,1711929600,0,0
27467980000000000000000,0x22d134851ddeE8D3DD64D71B092986B3cC7D26D8,126230400,1711929600,0,0
31784540000000000000000,0xf1db71f3b5be61bf23fc1300e7af67df06fff386,126230400,1711929600,0,1
3427740000000000000000,0x49F15cAddC248933c7B50F3774A5cCcD9c4f6cDB,126230400,1711929600,0,0
74882640000000000000000,0x202549e6ce3B8ab3eF606c3Cdac2D487689747Ab,126230400,1714521600,0,0
174988330000000000000000,0xF7D8472c1901c95Ee6452AEB9BA9e61B7938e98e,126230400,1704067200,31622400,1
103059730000000000000000,0xc8faa14cb807e301f43e0015c0e782b252b42c4d,126230400,1707696000,31622400,0
111610690000000000000000,0x1EAF931aabbB02Ca8A416040cF5b35C73Fff2A8a,126230400,1694390400,31622400,0
