amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
38488450000000000000000,0xaaDa5d4343D6560352DF894512eb0adAfC85fEf7,126230400,1727740800,31536000,1
254398630000000000000000,0x384eF96C71FB94B9F2747b0D6EF4c852FC111397,126230400,1730419200,31536000,0
112623290000000000000000,0x99f19b148f4F7aba4a8B61b0632Abb9Ac7789cf0,126230400,1724630400,31536000,1
139189610000000000000000,0x5DF9482D02C29286BaB462F3E91a58FdeF881B53,126230400,1728864000,31536000,1
151773860000000000000000,0xdFaa5bA963A4BcaC53b8Bfef494b38112FC281a8,126230400,1729468800,31536000,1
34717840000000000000000,0x378a51ef224697189C85bBABE5D7DFF152a519c3,126230400,1709510400,31536000,1
