amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
260927140000000000000000,0x4b17b32de85aa3636929ac2cc029b95173b2aee5,133901517,1659589683,16311117,0
160004540000000000000000,0x063272AA3857D5e2c8bF8bFcE02B014AcEe85237,132432840,1661058360,21840840,0
160004540000000000000000,0x88792bee0d8A4c46acB7a2D8bfBef7e3A678639e,132432840,1661058360,21840840,0
57179290000000000000000,0x78d1A0F002BceC82266627015eeD2Ca477eD753a,126230400,1667260800,13305600,1
61246760000000000000000,0x23933367F0F12478b6E1B7E7Ee866708fC7D1481,136497566,1656993634,25819166,1
