amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
164340910000000000000000,0xf6ce7666A3285Ce41c7B77BDAe44AbBBB3Cc13Cf,132610763,1660880437,27289163,0
39545890000000000000000,0xb729717DAf009663aAB623947D8e6fd0C03601FB,142370198,1651121002,38517398,0
69046680000000000000000,0x66d3FdA643320c6DddFBba39e635288A5dF75FB9,126230400,1667260800,0,0
74844640000000000000000,0x7FB035ceC4719dAD181090741c32747Dd850C2C7,133492841,1659998359,0,0
158808240000000000000000,0x542f3867733717f2e2f06B38c0A509f4d2077b57,132722975,1660768225,29474975,0
17980910000000000000000,0x49F15cAddC248933c7B50F3774A5cCcD9c4f6cDB,126230400,1667260800,23587200,0
77644830000000000000000,0x4edFfcc34d1ef76d3036A88ae2313c6F15353493,126230400,1667260800,23587200,0
98077680000000000000000,0xa6A33ee698Aa8045F6Ea7c6733d0791322F3C7fd,126230400,1667260800,26352000,0
