amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
308546740000000000000000,0x9BFd0b6997a42c1Ab5213E0F21862366bb0C6604,94608000,1647820800,31536000,0
106177550000000000000000,0x202549e6ce3B8ab3eF606c3Cdac2D487689747Ab,94608000,1652659200,31536000,0
26642570000000000000000,0xd1d0B11Efc39957688aa684366E0B4837cD8e026,31536000,1691193600,0,0
50266030000000000000000,0xC5bDe47D778669DE0d779D94FC8Abee9E0196e63,31536000,1692316800,0,0
41875670000000000000000,0xC46e53176EEf3062B8303AcE0008Fa3fDD17000E,31536000,1693267200,0,0
