amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
167644340000000000000000,0x28C5926808bf574Ab4A38566af2040158Eb7945a,134853651,1658637549,13893651,0
154032450000000000000000,0x3416ef25004223dE85AEdEdD5B2f59bbdF82432f,130597316,1662893884,10760516,1
165635890000000000000000,0xb251E72effCBbCeAC4b7dd980fBB60BeC27807bb,133238047,1660253153,13833247,0
111423280000000000000000,0x7831cdf933a54F3c869e33E700F9A89665c53D74,143406789,1650084411,24433989,0
77377800000000000000000,0x08FCB6DC4844e3746BEC921EBf44575366d94d31,138125820,1655365380,26410620,0
