amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
125755830000000000000000,0x624d8d3461871120A35A8c508b7a0be1B8E82cd0,134877864,1658613336,0,0
165994070000000000000000,0x3e4d2350c45eeA6A9FAd63E13ba4F81782966811,133526169,1659965031,0,0
167002510000000000000000,0xeD5Aa17Ade6ba38b188B0269C2509A086D8b963e,134337361,1659153839,0,0
67141770000000000000000,0xAEC53f0a61E7D8b58788A96799C34408Bdb4c22d,136623702,1656867498,15404502,0
166648180000000000000000,0x474fBAd9636FdEE752a539660F2b25CC68DFF467,132533722,1660957478,3020122,0
35307960000000000000000,0xAA1dB2F567D0B9955b1Da90bA787Ad251FdB67ff,126230400,1667260800,0,0
