amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
66982800000000000000000,0x407573A78962129593fF8a58D72ad7e7632517A6,132630598,1660860602,0,0
148935380000000000000000,0x6E64B55A0d1c859F469d9848A188D2b5a52c1461,129081859,1664409341,0,0
164774170000000000000000,0xC64d449baeCd972493C9F7CC171cf41aC1023dbd,132544877,1660946323,0,0
145042280000000000000000,0x8a62A63b877877bd5B1209B9b67F3d2685284268,131461949,1662029251,0,0
66091280000000000000000,0x86a001e0FC7f14F54b986A31947952A8929f7B06,126230400,1667260800,0,0
