amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
23484290000000000000000,0xe803E94686EA979B1Ccc0144B4F8f61b4a952329,126230400,1711324800,31536000,0
155730900000000000000000,0xd3F123B1bC1938E7bA8165E53E8Faf7B3F4E42C2,126230400,1712534400,31536000,0
77919190000000000000000,0x824717A62Dd3949DEbBC08a4e80060a61C6dD79e,126230400,1713744000,31536000,1
32466330000000000000000,0x7d5bfe56de80a3e2cc8648102d8c0955fdeacc97,126230400,1713744000,31536000,1
25320730000000000000000,0xcf27a59d54c79be53645e5eb8b5814c333c16bd6,126230400,1717372800,31536000,1
108523330000000000000000,0xb245c809721f57DAaC6dF94e2f8F5964d041c31c,126230400,1718755200,31536000,1
110379710000000000000000,0xdB7DfCC9d4C09B937aC13EB8095261B7dc335A88,126230400,1721001600,31536000,0
90310670000000000000000,0x739dAa1FA357b00Ffc5Fd3Dd836B32A5565CC264,126230400,1721001600,31536000,1
