amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
1.79E+23,0xF5e3602D3Fef0e1001D217C5DAC4391134526E42,126230400,1701388800,0,1
1.86E+23,0x4b17b32de85aa3636929ac2cc029b95173b2aee5,126230400,1701388800,0,0
6.46E+22,0x9F27d5E8B74522e8591c1cc089002ad9D8539843,126230400,1692835200,31622400,1
6.44E+22,0x5DA33b80EfF4290e59a80C22bbA88Ea1Be19eB5F,126230400,1701388800,0,0
7.22E+22,0x146f2ed4fd11f10d3d1b8fe7f787d40a8537f79d,126230400,1709251200,0,1
4.35E+22,0x3416ef25004223dE85AEdEdD5B2f59bbdF82432f,126230400,1685577600,0,1
8.76E+21,0xb729717DAf009663aAB623947D8e6fd0C03601FB,126230400,1685577600,4060800,0
4.08E+22,0x542f3867733717f2e2f06B38c0A509f4d2077b57,126230400,1704067200,0,0
