amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
141891890000000000000000,0xf122eba5ea71dfa018ba2c55dad05d2aabc09d2e,126230400,1667260800,32832000,0
221231720000000000000000,0x18336d2Ff29D232C731856a4198f3F570616D970,131821861,1661669339,22957861,1
139148600000000000000000,0x47fc7976cF173B18cDc8FB2278d4F2D62b8D6859,132170137,1661321063,25379737,0
62378480000000000000000,0x3197ef8B45eE1466BFF74B4ebd53D65c912B8435,137708259,1655782941,31004259,1
31190280000000000000000,0xCB2a52fC17C626f1D044F6a897D9609B0a2d1e02,137712875,1655778325,29799275,0
118646190000000000000000,0x146f2ed4fd11f10d3d1b8fe7f787d40a8537f79d,130494945,1662996255,27333345,1
