amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
179639960000000000000000,0x2FCB2309309EF01Bfd126e4B0F5ac84e46C63b76,135603954,1657887246,21815154,0
181086200000000000000000,0x83ddF9B39DA1607Db2C52FBA53d1852e38d18157,137097717,1656393483,24259317,0
54682170000000000000000,0x8A246381A3ad106eE1F6610CfDEd9ACa87fd3e79,134695536,1658795664,30237936,1
58846610000000000000000,0x130166f8bADaC6f055B3AD4dab515fC297b2fda1,126230400,1667260800,29635200,0
160004540000000000000000,0x15888938B2347B99dF2C08f5f2f4dd6e0C747B70,132432840,1661058360,21840840,0
77852520000000000000000,0xC85433121192F41B4FD1a360CA571916453AE32f,126230400,1667260800,38102400,1
