amount,recipient,vesting_duration,vesting_start,cliff_length,is_fully_revokable
106250820000000000000000,0xB998fc2711d19905633426F8267A737B2aB35aEc,126230400,1667260800,23587200,0
14501860000000000000000,0xd1d0B11Efc39957688aa684366E0B4837cD8e026,126230400,1685577600,5616000,0
15374870000000000000000,0xC5bDe47D778669DE0d779D94FC8Abee9E0196e63,126230400,1685577600,6739200,0
20665150000000000000000,0xC46e53176EEf3062B8303AcE0008Fa3fDD17000E,126230400,1685577600,7689600,0
12713300000000000000000,0x3197ef8B45eE1466BFF74B4ebd53D65c912B8435,126230400,1685577600,1209600,1
34804470000000000000000,0xeD5Aa17Ade6ba38b188B0269C2509A086D8b963e,126230400,1685577600,0,0
78310050000000000000000,0x066c42452177701c4Eaff4A57996eE9C8Bac80c2,126230400,1685577600,0,0
58708370000000000000000,0x474fBAd9636FdEE752a539660F2b25CC68DFF467,126230400,1685577600,0,0
12568280000000000000000,0x23933367F0F12478b6E1B7E7Ee866708fC7D1481,126230400,1685577600,0,1
40605210000000000000000,0xf122eba5ea71dfa018ba2c55dad05d2aabc09d2e,126230400,1685577600,14515200,0
11420220000000000000000,0x8A246381A3ad106eE1F6610CfDEd9ACa87fd3e79,126230400,1685577600,3456000,1
